size,data_structure,operation,latency
100,vector,push_back,10.5
100,fbvector,push_back,3.33333
1000,vector,push_back,59.1667
1000,fbvector,push_back,7.83333
10000,vector,push_back,642.5
10000,fbvector,push_back,69.3333
100000,vector,push_back,5699.33
100000,fbvector,push_back,707.833
1000000,vector,push_back,53213.7
1000000,fbvector,push_back,6700
10000000,vector,push_back,615553
10000000,fbvector,push_back,70882.7
100,vector,erase,2.16667
100,fbvector,erase,0.166667
1000,vector,erase,24
1000,fbvector,erase,5
10000,vector,erase,243.167
10000,fbvector,erase,57.3333
100000,vector,erase,2493
100000,fbvector,erase,585.333
1000000,vector,erase,25003.2
1000000,fbvector,erase,5914.5
10000000,vector,erase,251041
10000000,fbvector,erase,60473.2
